,car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
60,61,0,mazda glc custom l,1,1,4,3,fwd,front,98.8,177.8,66.5,55.5,2410,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,8495.0,10
61,62,1,mazda glc custom,1,1,2,2,fwd,front,98.8,177.8,66.5,53.7,2385,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,10595.0,10
62,63,0,mazda rx-4,1,1,4,3,fwd,front,98.8,177.8,66.5,55.5,2410,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,10245.0,10
63,64,0,mazda glc deluxe,2,1,4,3,fwd,front,98.8,177.8,66.5,55.5,2443,3,4,122,7,3.39,3.39,22.7,64,4650,36,42,10795.0,10
64,65,0,mazda 626,1,1,4,2,fwd,front,98.8,177.8,66.5,55.5,2425,3,4,122,2,3.39,3.39,8.6,84,4800,26,32,11245.0,10
65,66,0,mazda glc,1,1,4,3,rwd,front,104.9,175.0,66.1,54.4,2670,3,4,140,1,3.76,3.16,8.0,120,5000,19,27,18280.0,10
66,67,0,mazda rx-7 gs,2,1,4,3,rwd,front,104.9,175.0,66.1,54.4,2700,3,4,134,7,3.43,3.64,22.0,72,4200,31,39,18344.0,10
67,68,-1,buick electra 225 custom,2,2,4,3,rwd,front,110.0,190.9,70.3,56.5,3515,3,5,183,7,3.58,3.64,21.5,123,4350,22,25,25552.0,11
68,69,-1,buick century luxus (sw),2,2,4,4,rwd,front,110.0,190.9,70.3,58.7,3750,3,5,183,7,3.58,3.64,21.5,123,4350,22,25,28248.0,11
69,70,0,buick century,2,2,2,5,rwd,front,106.7,187.5,70.3,54.9,3495,3,5,183,7,3.58,3.64,21.5,123,4350,22,25,28176.0,11
70,71,-1,buick skyhawk,2,2,4,3,rwd,front,115.6,202.6,71.7,56.3,3770,3,5,183,7,3.58,3.64,21.5,123,4350,22,25,31600.0,11
71,72,-1,buick opel isuzu deluxe,1,1,4,3,rwd,front,115.6,202.6,71.7,56.5,3740,2,8,234,1,3.46,3.1,8.3,155,4750,16,18,34184.0,11
72,73,3,buick skylark,1,1,2,1,rwd,front,96.6,180.3,70.5,50.8,3685,2,8,234,1,3.46,3.1,8.3,155,4750,16,18,35056.0,11
73,74,0,buick century special,1,1,4,3,rwd,front,120.9,208.1,71.7,56.7,3900,2,8,308,1,3.8,3.35,8.0,184,4500,14,16,40960.0,11
74,75,1,buick regal sport coupe (turbo),1,1,2,5,rwd,front,112.0,199.2,72.0,55.4,3715,2,8,304,1,3.8,3.35,8.0,184,4500,14,16,45400.0,11
75,76,1,mercury cougar,1,2,2,2,rwd,front,102.7,178.4,68.0,54.8,2910,3,4,140,1,3.78,3.12,8.0,175,5000,19,24,16503.0,12
76,77,2,mitsubishi mirage,1,1,2,2,fwd,front,93.7,157.3,64.4,50.8,1918,3,4,92,2,2.97,3.23,9.4,68,5500,37,41,5389.0,13
77,78,2,mitsubishi lancer,1,1,2,2,fwd,front,93.7,157.3,64.4,50.8,1944,3,4,92,2,2.97,3.23,9.4,68,5500,31,38,6189.0,13
78,79,2,mitsubishi outlander,1,1,2,2,fwd,front,93.7,157.3,64.4,50.8,2004,3,4,92,2,2.97,3.23,9.4,68,5500,31,38,6669.0,13
79,80,1,mitsubishi g4,1,2,2,2,fwd,front,93.0,157.3,63.8,50.8,2145,3,4,98,8,3.03,3.39,7.6,102,5500,24,30,7689.0,13
80,81,3,mitsubishi mirage g4,1,2,2,2,fwd,front,96.3,173.0,65.4,49.4,2370,3,4,110,8,3.17,3.46,7.5,116,5500,23,30,9959.0,13
81,82,3,mitsubishi g4,1,1,2,2,fwd,front,96.3,173.0,65.4,49.4,2328,3,4,122,2,3.35,3.46,8.5,88,5000,25,32,8499.0,13
82,83,3,mitsubishi outlander,1,2,2,2,fwd,front,95.9,173.2,66.3,50.2,2833,3,4,156,8,3.58,3.86,7.0,145,5000,19,24,12629.0,13
83,84,3,mitsubishi g4,1,2,2,2,fwd,front,95.9,173.2,66.3,50.2,2921,3,4,156,8,3.59,3.86,7.0,145,5000,19,24,14869.0,13
84,85,3,mitsubishi mirage g4,1,2,2,2,fwd,front,95.9,173.2,66.3,50.2,2926,3,4,156,8,3.59,3.86,7.0,145,5000,19,24,14489.0,13
85,86,1,mitsubishi montero,1,1,4,3,fwd,front,96.3,172.4,65.4,51.6,2365,3,4,122,2,3.35,3.46,8.5,88,5000,25,32,6989.0,13
86,87,1,mitsubishi pajero,1,1,4,3,fwd,front,96.3,172.4,65.4,51.6,2405,3,4,122,2,3.35,3.46,8.5,88,5000,25,32,8189.0,13
87,88,1,mitsubishi outlander,1,2,4,3,fwd,front,96.3,172.4,65.4,51.6,2403,3,4,110,8,3.17,3.46,7.5,116,5500,23,30,9279.0,13
88,89,-1,mitsubishi mirage g4,1,1,4,3,fwd,front,96.3,172.4,65.4,51.6,2403,3,4,110,8,3.17,3.46,7.5,116,5500,23,30,9279.0,13
89,90,1,Nissan versa,1,1,2,3,fwd,front,94.5,165.3,63.8,54.5,1889,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,5499.0,14
90,91,1,nissan gt-r,2,1,2,3,fwd,front,94.5,165.3,63.8,54.5,2017,3,4,103,7,2.99,3.47,21.9,55,4800,45,50,7099.0,15
91,92,1,nissan rogue,1,1,2,3,fwd,front,94.5,165.3,63.8,54.5,1918,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,6649.0,15
92,93,1,nissan latio,1,1,4,3,fwd,front,94.5,165.3,63.8,54.5,1938,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,6849.0,15
93,94,1,nissan titan,1,1,4,4,fwd,front,94.5,170.2,63.8,53.5,2024,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7349.0,15
94,95,1,nissan leaf,1,1,2,3,fwd,front,94.5,165.3,63.8,54.5,1951,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7299.0,15
95,96,1,nissan juke,1,1,2,2,fwd,front,94.5,165.6,63.8,53.3,2028,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7799.0,15
96,97,1,nissan latio,1,1,4,3,fwd,front,94.5,165.3,63.8,54.5,1971,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7499.0,15
97,98,1,nissan note,1,1,4,4,fwd,front,94.5,170.2,63.8,53.5,2037,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,7999.0,15
98,99,2,nissan clipper,1,1,2,5,fwd,front,95.1,162.4,63.8,53.3,2008,3,4,97,2,3.15,3.29,9.4,69,5200,31,37,8249.0,15
99,100,0,nissan rogue,1,1,4,2,fwd,front,97.2,173.4,65.2,54.7,2324,3,4,120,2,3.33,3.47,8.5,97,5200,27,34,8949.0,15
100,101,0,nissan nv200,1,1,4,3,fwd,front,97.2,173.4,65.2,54.7,2302,3,4,120,2,3.33,3.47,8.5,97,5200,27,34,9549.0,15
101,102,0,nissan dayz,1,1,4,3,fwd,front,100.4,181.7,66.5,55.1,3095,2,6,181,1,3.43,3.27,9.0,152,5200,17,22,13499.0,15
102,103,0,nissan fuga,1,1,4,4,fwd,front,100.4,184.6,66.5,56.1,3296,2,6,181,1,3.43,3.27,9.0,152,5200,17,22,14399.0,15
103,104,0,nissan otti,1,1,4,3,fwd,front,100.4,184.6,66.5,55.1,3060,2,6,181,1,3.43,3.27,9.0,152,5200,19,25,13499.0,15
104,105,3,nissan teana,1,1,2,2,rwd,front,91.3,170.7,67.9,49.7,3071,2,6,181,1,3.43,3.27,9.0,160,5200,19,25,17199.0,15
105,106,3,nissan kicks,1,2,2,2,rwd,front,91.3,170.7,67.9,49.7,3139,2,6,181,1,3.43,3.27,7.8,200,5200,17,23,19699.0,15
106,107,1,nissan clipper,1,1,2,2,rwd,front,99.2,178.5,67.9,49.7,3139,2,6,181,1,3.43,3.27,9.0,160,5200,19,25,18399.0,15
107,108,0,peugeot 504,1,1,4,3,rwd,front,107.9,186.7,68.4,56.7,3020,4,4,120,1,3.46,3.19,8.4,97,5000,19,24,11900.0,16
108,109,0,peugeot 304,2,2,4,3,rwd,front,107.9,186.7,68.4,56.7,3197,4,4,152,7,3.7,3.52,21.0,95,4150,28,33,13200.0,16
109,110,0,peugeot 504 (sw),1,1,4,4,rwd,front,114.2,198.9,68.4,58.7,3230,4,4,120,1,3.46,3.19,8.4,97,5000,19,24,12440.0,16
110,111,0,peugeot 504,2,2,4,4,rwd,front,114.2,198.9,68.4,58.7,3430,4,4,152,7,3.7,3.52,21.0,95,4150,25,25,13860.0,16
111,112,0,peugeot 504,1,1,4,3,rwd,front,107.9,186.7,68.4,56.7,3075,4,4,120,1,3.46,2.19,8.4,95,5000,19,24,15580.0,16
112,113,0,peugeot 604sl,2,2,4,3,rwd,front,107.9,186.7,68.4,56.7,3252,4,4,152,7,3.7,3.52,21.0,95,4150,28,33,16900.0,16
113,114,0,peugeot 504,1,1,4,4,rwd,front,114.2,198.9,68.4,56.7,3285,4,4,120,1,3.46,2.19,8.4,95,5000,19,24,16695.0,16
114,115,0,peugeot 505s turbo diesel,2,2,4,4,rwd,front,114.2,198.9,68.4,58.7,3485,4,4,152,7,3.7,3.52,21.0,95,4150,25,25,17075.0,16
115,116,0,peugeot 504,1,1,4,3,rwd,front,107.9,186.7,68.4,56.7,3075,4,4,120,1,3.46,3.19,8.4,97,5000,19,24,16630.0,16
116,117,0,peugeot 504,2,2,4,3,rwd,front,107.9,186.7,68.4,56.7,3252,4,4,152,7,3.7,3.52,21.0,95,4150,28,33,17950.0,16
117,118,0,peugeot 604sl,1,2,4,3,rwd,front,108.0,186.7,68.3,56.0,3130,4,4,134,1,3.61,3.21,7.0,142,5600,18,24,18150.0,16
118,119,1,plymouth fury iii,1,1,2,2,fwd,front,93.7,157.3,63.8,50.8,1918,3,4,90,2,2.97,3.23,9.4,68,5500,37,41,5572.0,17
119,120,1,plymouth cricket,1,2,2,2,fwd,front,93.7,157.3,63.8,50.8,2128,3,4,98,8,3.03,3.39,7.6,102,5500,24,30,7957.0,17
120,121,1,plymouth fury iii,1,1,4,2,fwd,front,93.7,157.3,63.8,50.6,1967,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,6229.0,17
121,122,1,plymouth satellite custom (sw),1,1,4,3,fwd,front,93.7,167.3,63.8,50.8,1989,3,4,90,2,2.97,3.23,9.4,68,5500,31,38,6692.0,17
122,123,1,plymouth fury gran sedan,1,1,4,3,fwd,front,93.7,167.3,63.8,50.8,2191,3,4,98,2,2.97,3.23,9.4,68,5500,31,38,7609.0,17
123,124,-1,plymouth valiant,1,1,4,4,fwd,front,103.3,174.6,64.6,59.8,2535,3,4,122,2,3.35,3.46,8.5,88,5000,24,30,8921.0,17
124,125,3,plymouth duster,1,2,2,2,rwd,front,95.9,173.2,66.3,50.2,2818,3,4,156,8,3.59,3.86,7.0,145,5000,19,24,12764.0,17
125,126,3,porsche macan,1,1,2,2,rwd,front,94.5,168.9,68.3,50.2,2778,3,4,151,1,3.94,3.11,9.5,143,5500,19,27,22018.0,18
126,127,3,porcshce panamera,1,1,2,5,rwd,rear,89.5,168.9,65.0,51.6,2756,6,6,194,1,3.74,2.9,9.5,207,5900,17,25,32528.0,19
127,128,3,porsche cayenne,1,1,2,5,rwd,rear,89.5,168.9,65.0,51.6,2756,6,6,194,1,3.74,2.9,9.5,207,5900,17,25,34028.0,18
128,129,3,porsche boxter,1,1,2,1,rwd,rear,89.5,168.9,65.0,51.6,2800,6,6,194,1,3.74,2.9,9.5,207,5900,17,25,37028.0,18
129,130,1,porsche cayenne,1,1,2,2,rwd,front,98.4,175.7,72.3,50.5,3366,7,8,203,1,3.94,3.11,10.0,288,5750,17,28,31400.5,18
130,131,0,renault 12tl,1,1,4,4,fwd,front,96.1,181.5,66.5,55.2,2579,3,4,132,1,3.46,3.9,8.7,90,5100,23,31,9295.0,20
131,132,2,renault 5 gtl,1,1,2,2,fwd,front,96.1,176.8,66.6,50.5,2460,3,4,132,1,3.46,3.9,8.7,90,5100,23,31,9895.0,20
132,133,3,saab 99e,1,1,2,2,fwd,front,99.1,186.6,66.5,56.1,2658,3,4,121,1,3.54,3.07,9.31,110,5250,21,28,11850.0,21
133,134,2,saab 99le,1,1,4,3,fwd,front,99.1,186.6,66.5,56.1,2695,3,4,121,1,3.54,3.07,9.3,110,5250,21,28,12170.0,21
134,135,3,saab 99le,1,1,2,2,fwd,front,99.1,186.6,66.5,56.1,2707,3,4,121,1,2.54,2.07,9.3,110,5250,21,28,15040.0,21
135,136,2,saab 99gle,1,1,4,3,fwd,front,99.1,186.6,66.5,56.1,2758,3,4,121,1,3.54,3.07,9.3,110,5250,21,28,15510.0,21
136,137,3,saab 99gle,1,2,2,2,fwd,front,99.1,186.6,66.5,56.1,2808,1,4,121,1,3.54,3.07,9.0,160,5500,19,26,18150.0,21
137,138,2,saab 99e,1,2,4,3,fwd,front,99.1,186.6,66.5,56.1,2847,1,4,121,1,3.54,3.07,9.0,160,5500,19,26,18620.0,21
138,139,2,subaru,1,1,2,2,fwd,front,93.7,156.9,63.4,53.7,2050,6,4,97,2,3.62,2.36,9.0,69,4900,31,36,5118.0,22
139,140,2,subaru dl,1,1,2,2,fwd,front,93.7,157.9,63.6,53.7,2120,6,4,108,2,3.62,2.64,8.7,73,4400,26,31,7053.0,22
140,141,2,subaru dl,1,1,2,2,4wd,front,93.3,157.3,63.8,55.7,2240,6,4,108,2,3.62,2.64,8.7,73,4400,26,31,7603.0,22
141,142,0,subaru,1,1,4,3,fwd,front,97.2,172.0,65.4,52.5,2145,6,4,108,2,3.62,2.64,9.5,82,4800,32,37,7126.0,22
142,143,0,subaru brz,1,1,4,3,fwd,front,97.2,172.0,65.4,52.5,2190,6,4,108,2,3.62,2.64,9.5,82,4400,28,33,7775.0,22
143,144,0,subaru baja,1,1,4,3,fwd,front,97.2,172.0,65.4,52.5,2340,6,4,108,1,3.62,2.64,9.0,94,5200,26,32,9960.0,22
144,145,0,subaru r1,1,1,4,3,4wd,front,97.0,172.0,65.4,54.3,2385,6,4,108,2,3.62,2.64,9.0,82,4800,24,25,9233.0,22
145,146,0,subaru r2,1,2,4,3,4wd,front,97.0,172.0,65.4,54.3,2510,6,4,108,1,3.62,2.64,7.7,111,4800,24,29,11259.0,22
146,147,0,subaru trezia,1,1,4,4,fwd,front,97.0,173.5,65.4,53.0,2290,6,4,108,2,3.62,2.64,9.0,82,4800,28,32,7463.0,22
147,148,0,subaru tribeca,1,1,4,4,fwd,front,97.0,173.5,65.4,53.0,2455,6,4,108,1,3.62,2.64,9.0,94,5200,25,31,10198.0,22
148,149,0,subaru dl,1,1,4,4,4wd,front,96.9,173.6,65.4,54.9,2420,6,4,108,2,3.62,2.64,9.0,82,4800,23,29,8013.0,22
149,150,0,subaru dl,1,2,4,4,4wd,front,96.9,173.6,65.4,54.9,2650,6,4,108,1,3.62,2.64,7.7,111,4800,23,23,11694.0,22
150,151,1,toyota corona mark ii,1,1,2,2,fwd,front,95.7,158.7,63.6,54.5,1985,3,4,92,2,3.05,3.03,9.0,62,4800,35,39,5348.0,23
151,152,1,toyota corona,1,1,2,2,fwd,front,95.7,158.7,63.6,54.5,2040,3,4,92,2,3.05,3.03,9.0,62,4800,31,38,6338.0,23
152,153,1,toyota corolla 1200,1,1,4,2,fwd,front,95.7,158.7,63.6,54.5,2015,3,4,92,2,3.05,3.03,9.0,62,4800,31,38,6488.0,23
153,154,0,toyota corona hardtop,1,1,4,4,fwd,front,95.7,169.7,63.6,59.1,2280,3,4,92,2,3.05,3.03,9.0,62,4800,31,37,6918.0,23
154,155,0,toyota corolla 1600 (sw),1,1,4,4,4wd,front,95.7,169.7,63.6,59.1,2290,3,4,92,2,3.05,3.03,9.0,62,4800,27,32,7898.0,23
155,156,0,toyota carina,1,1,4,4,4wd,front,95.7,169.7,63.6,59.1,3110,3,4,92,2,3.05,3.03,9.0,62,4800,27,32,8778.0,23
156,157,0,toyota mark ii,1,1,4,3,fwd,front,95.7,166.3,64.4,53.0,2081,3,4,98,2,3.19,3.03,9.0,70,4800,30,37,6938.0,23
157,158,0,toyota corolla 1200,1,1,4,2,fwd,front,95.7,166.3,64.4,52.8,2109,3,4,98,2,3.19,3.03,9.0,70,4800,30,37,7198.0,23
158,159,0,toyota corona,2,1,4,3,fwd,front,95.7,166.3,64.4,53.0,2275,3,4,110,7,3.27,3.35,22.5,56,4500,34,36,7898.0,23
159,160,0,toyota corolla,2,1,4,2,fwd,front,95.7,166.3,64.4,52.8,2275,3,4,110,7,3.27,3.35,22.5,56,4500,38,47,7788.0,23
160,161,0,toyota corona,1,1,4,3,fwd,front,95.7,166.3,64.4,53.0,2094,3,4,98,2,3.19,3.03,9.0,70,4800,38,47,7738.0,23
161,162,0,toyota corolla,1,1,4,2,fwd,front,95.7,166.3,64.4,52.8,2122,3,4,98,2,3.19,3.03,9.0,70,4800,28,34,8358.0,23
162,163,0,toyota mark ii,1,1,4,3,fwd,front,95.7,166.3,64.4,52.8,2140,3,4,98,2,3.19,3.03,9.0,70,4800,28,34,9258.0,23
163,164,1,toyota corolla liftback,1,1,2,3,rwd,front,94.5,168.7,64.0,52.6,2169,3,4,98,2,3.19,3.03,9.0,70,4800,29,34,8058.0,23
164,165,1,toyota corona,1,1,2,2,rwd,front,94.5,168.7,64.0,52.6,2204,3,4,98,2,3.19,3.03,9.0,70,4800,29,34,8238.0,23
